document_id,document_doi,repository_id,repository_url,developer_account_id,developer_account_url,developer_contribution_url,n_commits,n_additions,n_deletions,total_repo_commits,total_repo_additions,total_repo_deletions,contrib_type,is_actually_author,is_bot_account,notes
98474,https://doi.org/10.1109/TASE.2022.3211873,95053,https://github.com/precision-grazing/project,123928,https://github.com/precision-grazing,https://github.com/precision-grazing/project/commits?author=precision-grazing,3,374,2,34,30226,2148,doc,unclear,no,repo owner
53426,https://doi.org/10.1109/CVPR46437.2021.01249,51130,https://github.com/facebookresearch/connect-caption-and-trace,4940,https://github.com/facebook-github-bot,https://github.com/facebookresearch/connect-caption-and-trace/commits?author=facebook-github-bot,2,107,0,7,22421,4,doc,no,yes,
138046,https://doi.org/10.1016/j.neunet.2019.04.016,134250,https://github.com/dlaredo/nasa_rul_-cmaps-,154286,https://github.com/spndo,https://github.com/dlaredo/nasa_rul_-cmaps-/commits?author=spndo,6,24092,1003,185,834309,332604,code,unclear,no,
24316,https://doi.org/10.1109/IROS45743.2020.9340705,23312,https://github.com/changanvr/relationalgraphlearning,30725,https://github.com/LuNoX,https://github.com/changanvr/relationalgraphlearning/commits?author=LuNoX,1,6,3,267,18199,13075,code,unclear,no,
79324,https://doi.org/10.1145/3613904.3642065,76216,https://github.com/google/humanio,107676,https://github.com/xybruceliu,https://github.com/google/humanio/commits?author=xybruceliu,1,2039,4,3,3419,1091,code,yes,no,
115964,https://doi.org/10.1109/CVPR.2019.01078,112282,https://github.com/kang205/stl-dataset,137739,https://github.com/kang205,https://github.com/kang205/stl-dataset/commits?author=kang205,1,1,0,1,1,0,doc,yes,no,repo owner
9949,https://doi.org/10.1371/journal.pone.0275100,9644,https://github.com/sci-dhgithub/a-path-planning-approach-for-mobile-robots-using-short-and-safe-q-learning,25149,https://github.com/SCI-DHgithub,https://github.com/sci-dhgithub/a-path-planning-approach-for-mobile-robots-using-short-and-safe-q-learning/commits?author=SCI-DHgithub,2,1,1,2,1,1,other,unclear,no,
152306,https://doi.org/10.3847/1538-3881/ab2390,148533,https://github.com/exoml/plan-net,164481,https://github.com/h21k,https://github.com/exoml/plan-net/commits?author=h21k,5,23,10,7,158,16,doc,yes,no,
22097,https://doi.org/10.1016/j.icarus.2023.115845,21197,https://github.com/albinocarbo/tunguska_fall_model,43110,https://github.com/AlbinoCarbo,https://github.com/albinocarbo/tunguska_fall_model/commits?author=AlbinoCarbo,10,352,6,10,352,6,code,yes,no,repo owner
151690,https://doi.org/10.1007/978-3-030-95467-3_27,147906,https://github.com/usnistgov/stvm_nlp_research,164075,https://github.com/generic-github-user,https://github.com/usnistgov/stvm_nlp_research/commits?author=generic-github-user,39,309,120,54,395,1210,doc,no,no,code comments as docs?
125256,https://doi.org/10.1145/3477495.3532065,121551,https://github.com/iriscxy/target-aware-rwg,82389,https://github.com/iriscxy,https://github.com/iriscxy/target-aware-rwg/commits?author=iriscxy,4,7439,52,4,7439,52,code,unclear,no,repo owner
10426,https://doi.org/10.1371/journal.pone.0165966,10116,https://github.com/zain2014/esra-md,25850,https://github.com/zain2014,https://github.com/zain2014/esra-md/commits?author=zain2014,1,0,0,1,0,0,doc,unclear,no,repo owner
68604,https://doi.org/10.1145/3589334.3645381,65727,https://github.com/hkbunlp/explainhm-www2024,41069,https://github.com/ChiYeungLaw,https://github.com/hkbunlp/explainhm-www2024/commits?author=ChiYeungLaw,3,2640,4,44,10843,7836,code,no,no,
73665,https://doi.org/10.1109/TDSC.2022.3160872,70659,https://github.com/fripside/serviceaudit,51424,https://github.com/fripSide,https://github.com/fripside/serviceaudit/commits?author=fripSide,6,101539,5110,6,101539,5110,code,unclear,no,repo owner
47398,https://doi.org/10.1109/TCYB.2022.3194149,45377,https://github.com/vickyfox/region-wise-inpainting,75208,https://github.com/vickyFox,https://github.com/vickyfox/region-wise-inpainting/commits?author=vickyFox,16,862,39,26,920,54,code,unclear,no,repo owner
104057,https://doi.org/10.1609/aaai.v36i4.20372,100570,https://github.com/sijie-umn/ssf-mip,128367,https://github.com/megan893,https://github.com/sijie-umn/ssf-mip/commits?author=megan893,1,591,44,64,29376,20889,code,unclear,no,
34926,https://doi.org/10.1109/LRA.2018.2860057,33397,https://github.com/jonasrothfuss/deepepisodicmemory,59909,https://github.com/markusgrotz,https://github.com/jonasrothfuss/deepepisodicmemory/commits?author=markusgrotz,1,93,0,349,21550,12956,code,no,no,requirements.txt
42455,https://doi.org/10.1371/journal.pone.0257426,40540,https://github.com/yccc12/keras-retinanet,42492,https://github.com/apacha,https://github.com/yccc12/keras-retinanet/commits?author=apacha,4,30,19,582,11755,5973,code,no,no,
97597,https://doi.org/10.1109/ICCV51070.2023.00120,94179,https://github.com/csimo005/summit,123255,https://github.com/maxjaritz,https://github.com/csimo005/summit/commits?author=maxjaritz,2,44,31,9,10679,814,doc,no,no,
84041,https://doi.org/10.3390/math10244778,80804,https://github.com/zaiwen/modelcorrection,111854,https://github.com/lrslxdr,https://github.com/zaiwen/modelcorrection/commits?author=lrslxdr,13,3238,563,25,28034126,218135,code,unclear,no,
150802,https://doi.org/10.48550/arXiv.2403.05612,147050,https://github.com/katiekang1998/llm_hallucinations,51296,https://github.com/Dahoas,https://github.com/katiekang1998/llm_hallucinations/commits?author=Dahoas,34,3986,3796,317,376109,336788,code,no,no,
65285,https://doi.org/10.1109/CVPRW53098.2021.00374,62536,https://github.com/papermsucode/mdmmt,94234,https://github.com/papermsucode,https://github.com/papermsucode/mdmmt/commits?author=papermsucode,4,27,2,5,21729,10,doc,unclear,no,repo owner
123149,https://doi.org/10.1109/ICASSP49357.2023.10095569,119411,https://github.com/tomohikonakamura/asteroid_jacappella,63484,https://github.com/z-wony,https://github.com/tomohikonakamura/asteroid_jacappella/commits?author=z-wony,2,5,5,921,112238,39445,code,no,no,
43895,https://doi.org/10.1371/journal.pone.0227502,41946,https://github.com/ohi-science/ohibc,12779,https://github.com/katrinleinweber,https://github.com/ohi-science/ohibc/commits?author=katrinleinweber,1,28,28,695,9828123,8134083,doc,no,no,code comments as docs?
127435,https://doi.org/10.1038/s41524-024-01373-9,123687,https://github.com/ramprasad-group/polyverse,146564,https://github.com/ajain434,https://github.com/ramprasad-group/polyverse/commits?author=ajain434,8,4050,2066,59,16487384,8396574,doc,no,no,also data
72406,https://doi.org/10.1609/icwsm.v15i1.18085,69463,https://github.com/gesiscss/theory-driven-sexism-detection,101195,https://github.com/hide-ous,https://github.com/gesiscss/theory-driven-sexism-detection/commits?author=hide-ous,2,7,7,13,6207,2192,code,unclear,no,"mostly docs, single requirements.txt commit"
117906,https://doi.org/10.1109/IROS47612.2022.9981732,114186,https://github.com/jaykamat99/mt-multimodal_optimization,90888,https://github.com/quimortiz,https://github.com/jaykamat99/mt-multimodal_optimization/commits?author=quimortiz,2,294,284,75,51697,23739,code,yes,no,
49459,https://doi.org/10.1109/TDSC.2022.3153844,47320,https://github.com/kevinkoo001/ropf,77351,https://github.com/kevinkoo001,https://github.com/kevinkoo001/ropf/commits?author=kevinkoo001,6,6766,22,6,6766,22,doc,no,no,
110882,https://doi.org/10.1145/3543507.3583398,107289,https://github.com/idea-iitd/fairallocinsocialcom,115209,https://github.com/anjaliakg17,https://github.com/idea-iitd/fairallocinsocialcom/commits?author=anjaliakg17,6,19,5,6,19,5,doc,yes,no,first author
114012,https://doi.org/10.1109/ICRA57147.2024.10610545,110317,https://github.com/bosszhe/emiff,37036,https://github.com/Bosszhe,https://github.com/bosszhe/emiff/commits?author=Bosszhe,18,130181,8644,18,130181,8644,code,unclear,no,repo owner
67732,https://doi.org/10.1109/CVPR52688.2022.01131,64910,https://github.com/huiserwang/contrastmask,96576,https://github.com/huiserwang,https://github.com/huiserwang/contrastmask/commits?author=huiserwang,23,109797,45,23,109797,45,code,yes,no,repo owner
143882,https://doi.org/10.48550/arXiv.2407.08563,140098,https://github.com/leahvdh/vox-populi-vox-ai,158492,https://github.com/leahvdh,https://github.com/leahvdh/vox-populi-vox-ai/commits?author=leahvdh,21,51021,6593,29,51273,6615,code,yes,no,repo owner
26712,https://doi.org/10.1051/0004-6361/202347929,25598,https://github.com/javierorjuela/bayesian-neural-net-with-mnfs-for-f-r-,49373,https://github.com/JavierOrjuela,https://github.com/javierorjuela/bayesian-neural-net-with-mnfs-for-f-r-/commits?author=JavierOrjuela,2,3,1,2,3,1,doc,no,no,repo owner
93472,https://doi.org/10.1109/TVCG.2020.2988476,90154,https://github.com/juyong/dhnn_bodyrepresentation,36182,https://github.com/jby1993,https://github.com/juyong/dhnn_bodyrepresentation/commits?author=jby1993,3,570159,47,7,570183,59,code,yes,no,90% sure they are first author (initials match)
104535,https://doi.org/10.2140/jsag.2022.12.17,101030,https://github.com/macaulay2/workshop-2016-utah,128701,https://github.com/pplt,https://github.com/macaulay2/workshop-2016-utah/commits?author=pplt,51,5702,4717,507,61764,26104,code,no,no,
90341,https://doi.org/10.1109/ICCV48922.2021.00126,87034,https://github.com/slerman12/explaininginteractions,117293,https://github.com/AGI-init,https://github.com/slerman12/explaininginteractions/commits?author=AGI-init,2,4053,2,2,4053,2,code,yes,no,alt account of first author
108763,https://doi.org/10.1109/CBMS58004.2023.00304,105227,https://github.com/randlbem/early_icu_mortality_prediction_with_deep_fl,132088,https://github.com/nurialla2,https://github.com/randlbem/early_icu_mortality_prediction_with_deep_fl/commits?author=nurialla2,9,5499,0,51,54351,28610,code,unclear,no,
102180,https://doi.org/10.1137/23M1576360,98715,https://github.com/data-driven-numerical-methods/nonlinear-truncated-conjugate-residual,126934,https://github.com/matherheart,https://github.com/data-driven-numerical-methods/nonlinear-truncated-conjugate-residual/commits?author=matherheart,9,762,240,24,8775,4951,code,unclear,no,
85429,https://doi.org/10.1109/TPAMI.2023.3241945,82164,https://github.com/ralphc1212/variational_nested_dropout,113076,https://github.com/ralphc1212,https://github.com/ralphc1212/variational_nested_dropout/commits?author=ralphc1212,4,1972,2,4,1972,2,code,unclear,no,repo owner
82292,https://doi.org/10.1109/jstsp.2024.3387299,79079,https://github.com/salmane-s9/bistatic_isac,110199,https://github.com/salmane-s9,https://github.com/salmane-s9/bistatic_isac/commits?author=salmane-s9,13,4153,71,13,4153,71,code,yes,no,repo owner
155941,https://doi.org/10.1109/TPAMI.2024.3354910,152238,https://github.com/daftstone/smfm,51879,https://github.com/Daftstone,https://github.com/daftstone/smfm/commits?author=Daftstone,9,493287,1,9,493287,1,code,unclear,no,repo owner
72266,https://doi.org/10.3847/1538-4365/aab764,69328,https://github.com/pwry/lextes,101072,https://github.com/defseg,https://github.com/pwry/lextes/commits?author=defseg,12,307,25,15,345,27,code,unclear,no,
148079,https://doi.org/10.1109/TNNLS.2023.3279099,144309,https://github.com/yzr1991/deep_into_the_domain_shift,161511,https://github.com/yzR1991,https://github.com/yzr1991/deep_into_the_domain_shift/commits?author=yzR1991,39,10213,1074,39,10213,1074,code,unclear,no,repo owner
18719,https://doi.org/10.1109/ICPR56361.2022.9956716,17961,https://github.com/sheephow/elie_str,38426,https://github.com/SheepHow,https://github.com/sheephow/elie_str/commits?author=SheepHow,1,1,0,3,2287,2,doc,unclear,no,repo owner
126758,https://doi.org/10.1109/TMM.2023.3291588,123034,https://github.com/fanrena/dpt,146106,https://github.com/fanrena,https://github.com/fanrena/dpt/commits?author=fanrena,12,5877,19,12,5877,19,code,unclear,no,repo owner
27482,https://doi.org/10.1145/3510003.3510177,26320,https://github.com/automatedprogramrepair-2021/dear-auto-fix,50388,https://github.com/AutomatedProgramRepair-2021,https://github.com/automatedprogramrepair-2021/dear-auto-fix/commits?author=AutomatedProgramRepair-2021,32,14151658,114,33,14151660,114,code,unclear,no,repo owner
129610,https://doi.org/10.1109/INFOCOM52122.2024.10621088,125891,https://github.com/nkicsl/smartzone,97031,https://github.com/nkicsl,https://github.com/nkicsl/smartzone/commits?author=nkicsl,20,151168,29128,20,151168,29128,code,unclear,no,repo owner
55321,https://doi.org/10.1186/s12859-022-04688-w,52922,https://github.com/usmaann/bioalbert,84110,https://github.com/usmaann,https://github.com/usmaann/bioalbert/commits?author=usmaann,23,206,63,23,206,63,doc,yes,no,repo owner
62645,https://doi.org/10.1109/TNNLS.2021.3129371,59977,https://github.com/fedl-repo/fedaux,91555,https://github.com/fedl-repo,https://github.com/fedl-repo/fedaux/commits?author=fedl-repo,8,1657,1,8,1657,1,code,unclear,no,repo owner
52221,https://doi.org/10.1109/TMM.2023.3314153,49988,https://github.com/luogen1996/simrec,80459,https://github.com/luogen1996,https://github.com/luogen1996/simrec/commits?author=luogen1996,8,7822,19,57,25485,15722,code,yes,no,repo owner
8817,https://doi.org/10.1371/journal.pone.0272386,8529,https://github.com/eam-experiments/emnist,23474,https://github.com/eam-experiments,https://github.com/eam-experiments/emnist/commits?author=eam-experiments,84,6118,307739,189,386761,383728,code,unclear,no,repo owner
48083,https://doi.org/10.1145/3534678.3539392,46023,https://github.com/wzh-nlp/dl-mia-kdd-2022,75926,https://github.com/ArtemisAnn,https://github.com/wzh-nlp/dl-mia-kdd-2022/commits?author=ArtemisAnn,34,47694820,7800,41,47694884,7813,code,unclear,no,
85590,https://doi.org/10.1109/CVPRW59228.2023.00544,82323,https://github.com/uark-cviu/spartan,113212,https://github.com/nchappa,https://github.com/uark-cviu/spartan/commits?author=nchappa,2,28,2,2,28,2,doc,yes,no,
144404,https://doi.org/10.1609/aaai.v35i18.17931,140627,https://github.com/applicaai/successive-halving-topk,68582,https://github.com/pietruh,https://github.com/applicaai/successive-halving-topk/commits?author=pietruh,3,27,4,4,37,11,doc,yes,no,
32480,https://doi.org/10.2140/camcos.2022.17.1,31043,https://github.com/stevenireeves/amrex,12580,https://github.com/ax3l,https://github.com/stevenireeves/amrex/commits?author=ax3l,,,,,,,code,no,no,
97630,https://doi.org/10.1109/ICCV51070.2023.00358,94214,https://github.com/zhongcl-thu/3d-implicit-transporter,123276,https://github.com/zhongcl-thu,https://github.com/zhongcl-thu/3d-implicit-transporter/commits?author=zhongcl-thu,2,6,5,27,89,70,doc,yes,no,repo owner
35178,https://doi.org/10.48550/arxiv.2103.00418,33645,https://github.com/francoisluus/kgreasoning,60271,https://github.com/hyren,https://github.com/francoisluus/kgreasoning/commits?author=hyren,5,1424,3,8,2385,37,code,no,no,
117412,https://doi.org/10.1109/CVPR46437.2021.01303,113703,https://github.com/sherlockholmes221/ggnet,138824,https://github.com/SherlockHolmes221,https://github.com/sherlockholmes221/ggnet/commits?author=SherlockHolmes221,7,14632,44,7,14632,44,code,unclear,no,repo owner
75934,https://doi.org/10.18653/v1/2021.eacl-main.262,72925,https://github.com/nkh2235/syntaxbert,104505,https://github.com/nkh2235,https://github.com/nkh2235/syntaxbert/commits?author=nkh2235,1,41752,0,1,41752,0,code,unclear,no,repo owner
143769,https://doi.org/10.1109/CVPR52733.2024.02234,139976,https://github.com/anapplecore/mose,64230,https://github.com/weilllllls,https://github.com/anapplecore/mose/commits?author=weilllllls,2,2408,2,42,18796,13960,code,no,no,
155648,https://doi.org/10.1145/3377811.3380400,151938,https://github.com/arise-lab/deepinspect,166666,https://github.com/ariselab,https://github.com/arise-lab/deepinspect/commits?author=ariselab,2,2,1,75,6193529,1512,doc,unclear,no,alt lab account
124073,https://doi.org/10.1073/pnas.2311888121,120370,https://github.com/hyunp2/alphafold,68672,https://github.com/sbodenstein,https://github.com/hyunp2/alphafold/commits?author=sbodenstein,3,15,14,270,77523,6362,other,no,no,commiter to original repo (this is forked)
27482,https://doi.org/10.1145/3510003.3510177,26320,https://github.com/automatedprogramrepair-2021/dear-auto-fix,50389,https://github.com/kevinGit777,https://github.com/automatedprogramrepair-2021/dear-auto-fix/commits?author=kevinGit777,1,2,0,33,14151660,114,other,unclear,no,
108972,https://doi.org/10.1109/CVPR52688.2022.01368,105423,https://github.com/mengqidyangge/hierkd,132256,https://github.com/mengqiDyangge,https://github.com/mengqidyangge/hierkd/commits?author=mengqiDyangge,,,,,,,doc,yes,no,repo owner
121900,https://doi.org/10.48550/arxiv.2003.05733,118186,https://github.com/boosting-ticket/ticket_robust,142321,https://github.com/boosting-ticket,https://github.com/boosting-ticket/ticket_robust/commits?author=boosting-ticket,1,213235,0,1,213235,0,code,unclear,no,repo owner
89149,https://doi.org/10.3389/fmed.2021.746307,85868,https://github.com/khtao/stainnet,64615,https://github.com/khtao,https://github.com/khtao/stainnet/commits?author=khtao,34,2491,976,34,2491,976,code,yes,no,repo owner
80535,https://doi.org/10.1609/aaai.v38i9.28850,77394,https://github.com/marketdesignresearch/ml-cca,51012,https://github.com/JakobHeiss,https://github.com/marketdesignresearch/ml-cca/commits?author=JakobHeiss,3,3,2,18,177741,2304,doc,yes,no,
93281,https://doi.org/10.1109/TPAMI.2019.2963387,89969,https://github.com/luoyan407/congruency,52542,https://github.com/oibook13,https://github.com/luoyan407/congruency/commits?author=oibook13,12,234,109,36,297,144,code,yes,no,
94589,https://doi.org/10.1109/CVPR52733.2024.01599,91231,https://github.com/ailab-cvc/yolo-world,120822,https://github.com/paartheee,https://github.com/ailab-cvc/yolo-world/commits?author=paartheee,3,38,7,131,43054,19618,code,unclear,no,
17003,https://doi.org/10.1145/3611643.3616287,16363,https://github.com/davidtr1037/klee-quantifiers,36042,https://github.com/Mic92,https://github.com/davidtr1037/klee-quantifiers/commits?author=Mic92,6,125,108,2276,628836,311256,code,no,no,
9551,https://doi.org/10.1371/journal.ppat.1011663,9251,https://github.com/bloc0078/umn-tischler-tnseq,24661,https://github.com/bloc0078,https://github.com/bloc0078/umn-tischler-tnseq/commits?author=bloc0078,12,152832,3284,12,152832,3284,code,unclear,no,repo owner
279,https://doi.org/10.21437/Interspeech.2021-1679,271,https://github.com/statnlp/ada4asr,619,https://github.com/erip,https://github.com/statnlp/ada4asr/commits?author=erip,10,248,127,567,62751,18792,code,no,no,
24209,https://doi.org/10.1609/AAAI.V34I07.6902,23210,https://github.com/wangsr126/rdsnet,8574,https://github.com/IliaLarchenko,https://github.com/wangsr126/rdsnet/commits?author=IliaLarchenko,1,1,1,467,83165,32748,code,no,no,
115887,https://doi.org/10.1007/s10618-021-00813-0,112204,https://github.com/cran2367/sgt,137673,https://github.com/cran2367,https://github.com/cran2367/sgt/commits?author=cran2367,58,61708,31014,58,61708,31014,code,unclear,no,repo owner (i think maybe first author??)
50747,https://doi.org/10.1111/biom.13852,48553,https://github.com/umich-biostatistics/syndi,10418,https://github.com/mkleinsa,https://github.com/umich-biostatistics/syndi/commits?author=mkleinsa,13,2947,1504,13,2947,1504,code,no,no,
9811,https://doi.org/10.1371/journal.pone.0236371,9510,https://github.com/sjmuellerbt/cyprofiles,24994,https://github.com/sjmuellerbt,https://github.com/sjmuellerbt/cyprofiles/commits?author=sjmuellerbt,3,1783,0,3,1783,0,code,yes,no,repo owner
47606,https://doi.org/10.1007/978-3-031-06975-8_6,45585,https://github.com/uhh-iss/zeek,75498,https://github.com/dnthayer,https://github.com/uhh-iss/zeek/commits?author=dnthayer,,,,,,,code,no,no,
28739,https://doi.org/10.1145/3405794,27513,https://github.com/khoapham/fos,51906,https://github.com/khoapham,https://github.com/khoapham/fos/commits?author=khoapham,25,19317,57,257,6544328,3235317,code,yes,no,repo owner
936,https://doi.org/10.1109/TPAMI.2022.3223908,912,https://github.com/fangshancheng/abinet-pp,2007,https://github.com/ppwwyyxx,https://github.com/fangshancheng/abinet-pp/commits?author=ppwwyyxx,1,10,35,242,24260,2407,code,no,no,
73555,https://doi.org/10.1007/978-3-030-01057-7_25,70549,https://github.com/gprathap/openbcipython,102154,https://github.com/rceballos98,https://github.com/gprathap/openbcipython/commits?author=rceballos98,45,7952,6237,174,409212,14904,other,no,no,commiter to original repo (this is forked)
10797,https://doi.org/10.1371/journal.pcbi.1007636,10480,https://github.com/oxpig/saab_plus,26375,https://github.com/oxpig-admin,https://github.com/oxpig/saab_plus/commits?author=oxpig-admin,0,0,0,24,198,165,other,unclear,no,alt account of repo owner (lab account)
35482,https://doi.org/10.1109/CVPR52729.2023.00495,33938,https://github.com/megvii-research/cvpr2023-unidistill,3948,https://github.com/kebijuelun,https://github.com/megvii-research/cvpr2023-unidistill/commits?author=kebijuelun,4,18,5,10,12303,6,doc,yes,no,
33968,https://doi.org/10.1109/ICRA48891.2023.10160855,32476,https://github.com/georgeliu233/strajnet,58663,https://github.com/georgeliu233,https://github.com/georgeliu233/strajnet/commits?author=georgeliu233,23,5349,358,23,5349,358,code,yes,no,repo owner
78186,https://doi.org/10.1109/TCSVT.2019.2935128,75083,https://github.com/jackryo/ricap,106526,https://github.com/jackryo,https://github.com/jackryo/ricap/commits?author=jackryo,1,848,0,1,848,0,code,yes,no,repo owner
88368,https://doi.org/10.1109/TPAMI.2023.3236725,85079,https://github.com/pkuyym/evolvingattention,115571,https://github.com/lizzylizzylizzy,https://github.com/pkuyym/evolvingattention/commits?author=lizzylizzylizzy,7,5548,17,11,16431,18,code,unclear,no,
17824,https://doi.org/10.48550/arXiv.2403.01924,17136,https://github.com/disi-unibo-nlp/medgenie,37236,https://github.com/disi-unibo-nlp,https://github.com/disi-unibo-nlp/medgenie/commits?author=disi-unibo-nlp,,,,,,,doc,yes,no,repo owner
41703,https://doi.org/10.1109/CVPR52729.2023.00768,39816,https://github.com/bytedance/mrecg,68091,https://github.com/bobma-bytedance,https://github.com/bytedance/mrecg/commits?author=bobma-bytedance,2,2755,0,2,2755,0,code,yes,no,
98844,https://doi.org/10.1109/ICCVW60793.2023.00359,95419,https://github.com/firefyf/scrollnet,73332,https://github.com/FireFYF,https://github.com/firefyf/scrollnet/commits?author=FireFYF,18,2960,396,18,2960,396,code,unclear,no,repo owner
114910,https://doi.org/10.18653/v1/2022.findings-emnlp.72,111212,https://github.com/yuvalkirstain/lm-evaluation-harness,136784,https://github.com/anthony-dipofi,https://github.com/yuvalkirstain/lm-evaluation-harness/commits?author=anthony-dipofi,6,230,142,412,17673,9958,code,no,no,commiter to original repo (this is forked)
53849,https://doi.org/10.1609/aaai.v35i16.17721,51518,https://github.com/yuyanislearning/ctrl-pg,82289,https://github.com/GuillemGSubies,https://github.com/yuyanislearning/ctrl-pg/commits?author=GuillemGSubies,5,9,7,1771,1587071,790641,code,no,yes,