document_id,document_doi,repository_id,repository_url,developer_account_id,developer_account_url,developer_contribution_url,n_commits,n_additions,n_deletions,total_repo_commits,total_repo_additions,total_repo_deletions,who,eva-contrib-type,eva-is_actually_author,eva-bot_account,nic-contrib-type,nic-is_actually_author,nic-bot_account,
107848,https://doi.org/10.1088/1748-0221/18/11/P11028,104357,https://github.com/dnicotra/trackhhl,131471,https://github.com/dmark04,https://github.com/dnicotra/trackhhl/commits?author=dmark04,0,0,0,11,924,712,unclear,other,no,no,other,no,no,Not a contributor
44180,https://doi.org/10.1371/journal.pone.0263125,42221,https://github.com/lukemelas/efficientnet-pytorch,71221,https://github.com/robotrapta,https://github.com/lukemelas/efficientnet-pytorch/commits?author=robotrapta,1,1,1,120,8902,3609,unclear,docs,unclear,no,docs,unclear,no,
33751,https://doi.org/10.29012/jpc.870,32267,https://github.com/microsoft/prv_accountant,36697,https://github.com/s-zanella,https://github.com/microsoft/prv_accountant/commits?author=s-zanella,1,1,1,35,3604,883,coworker,code,no,no,code,no,no,
56650,https://doi.org/10.1007/s41095-021-0229-5,54205,https://github.com/menghaoguo/pct,2123,https://github.com/Menghao999,https://github.com/menghaoguo/pct/commits?author=Menghao999,1,11,1,30,1201,65,alt-account,code,yes,no,code,yes,no,Could be a duplicate account 
21394,https://doi.org/10.1109/TPAMI.2017.2769085,20529,https://github.com/hbilen/dynamic-image-nets,42202,https://github.com/Blssel,https://github.com/hbilen/dynamic-image-nets/commits?author=Blssel,1,2,2,1403,163258,86480,unclear,other,no,no,other,no,no,
32480,https://doi.org/10.2140/camcos.2022.17.1,31043,https://github.com/stevenireeves/amrex,19824,https://github.com/memmett,https://github.com/stevenireeves/amrex/commits?author=memmett,,,,,,,RSE? old contributor,code,no,no,code,no,no,Lots of commits over 3 year period 
81955,https://doi.org/10.1145/3477495.3531715,78745,https://github.com/wangfei-2019/image-text-retrieval,109896,https://github.com/raojay7,https://github.com/wangfei-2019/image-text-retrieval/commits?author=raojay7,0,0,0,33,24018,18332,lead author?,code,yes,no,code,yes,no,
17340,https://doi.org/10.1109/TNNLS.2022.3223018,16680,https://github.com/chaitjo/efficient-gnns,36532,https://github.com/nairbv,https://github.com/chaitjo/efficient-gnns/commits?author=nairbv,1,1,1,25,8495,128,passerby,docs,no,no,docs,no,no,
32480,https://doi.org/10.2140/camcos.2022.17.1,31043,https://github.com/stevenireeves/amrex,13054,https://github.com/asalmgren,https://github.com/stevenireeves/amrex/commits?author=asalmgren,,,,,,,RSE? old contributor,code,no,no,code,no,no,But is author on JOSS paper 
24393,https://doi.org/10.1088/1361-6544/ac0d46,23386,https://github.com/kaleonxie/complex-motion-of-spikes,46078,https://github.com/KaleonXie,https://github.com/kaleonxie/complex-motion-of-spikes/commits?author=KaleonXie,9,999415,80,9,999415,80,lead author?,code,yes,no,code,yes,no,First author
79342,https://doi.org/10.1109/CVPR52733.2024.00915,76234,https://github.com/dvlab-research/lisa,98800,https://github.com/Robert-zwr,https://github.com/dvlab-research/lisa/commits?author=Robert-zwr,1,1,1,126,37617,22530,,code,no,no,code,no,no,
113317,https://doi.org/10.1109/IWAGPR50767.2021.9843152,109642,https://github.com/majsylw/gprmax,135606,https://github.com/karlhorky,https://github.com/majsylw/gprmax/commits?author=karlhorky,1,1,1,1470,70738,38798,,docs,no,no,docs,no,no,
102098,https://doi.org/10.1016/j.patcog.2024.110729,98630,https://github.com/xingy038/ctnerf,32042,https://github.com/xingy038,https://github.com/xingy038/ctnerf/commits?author=xingy038,9,15194,7605,9,15194,7605,,code,yes,no,docs,yes,no,
850,https://doi.org/10.3847/1538-4365/ac958b,830,https://github.com/liuhao-cn/fastsht,1846,https://github.com/mreineck,https://github.com/liuhao-cn/fastsht/commits?author=mreineck,1,20,34,96,209136,17661,,code,no,no,code,no,no,
105605,https://doi.org/10.1016/j.patrec.2023.02.018,102089,https://github.com/kmbmjn/deadpixeltest_code,32339,https://github.com/kmbmjn,https://github.com/kmbmjn/deadpixeltest_code/commits?author=kmbmjn,1,2338,0,1,2338,0,,code,yes,no,code,yes,no,
44700,https://doi.org/10.1371/journal.pcbi.1005931,42730,https://github.com/bisse-trs/ppbecoli,71896,https://github.com/krzbar,https://github.com/bisse-trs/ppbecoli/commits?author=krzbar,2,2,2,3,4,3,,code,yes,no,code,yes,no,
60827,https://doi.org/10.1109/ICCV51070.2023.01884,58219,https://github.com/stevenlsw/contactgen,39296,https://github.com/stevenlsw,https://github.com/stevenlsw/contactgen/commits?author=stevenlsw,4,5605,4,4,5605,4,,code,yes,no,code,yes,no,
132439,https://doi.org/10.1109/TKDE.2023.3324510,128658,https://github.com/ringbdstack/ucl_sed,78936,https://github.com/shuishuianniu,https://github.com/ringbdstack/ucl_sed/commits?author=shuishuianniu,6,1101,17,6,1101,17,,code,unclear,no,code,unclear,no,
109156,https://doi.org/10.1109/ICCV51070.2023.00727,105604,https://github.com/lukashoel/text2room,99184,https://github.com/Mason-McGough,https://github.com/lukashoel/text2room/commits?author=Mason-McGough,1,2,2,8,5820,12,,code,no,no,code,no,no,
154552,https://doi.org/10.1016/j.envint.2022.107422,150845,https://github.com/isglobal-exposomehub/exposomedatachallenge2021,165980,https://github.com/chiaramoccia,https://github.com/isglobal-exposomehub/exposomedatachallenge2021/commits?author=chiaramoccia,1,242,0,83,56927,1209,,code,no,no,code,no,no,